market,code,name
KOSDAQ150,035760,CJ ENM
KOSDAQ150,195940,HK이노엔
KOSDAQ150,028300,HLB
KOSDAQ150,403870,HPSP
KOSDAQ150,095340,ISC
KOSDAQ150,035900,JYP Ent.
KOSDAQ150,060370,LS마린솔루션
KOSDAQ150,417200,LS머트리얼즈
KOSDAQ150,060250,NHN KCP
KOSDAQ150,218410,RFHIC
KOSDAQ150,036540,SFA반도체
KOSDAQ150,067160,SOOP
KOSDAQ150,399720,가온칩스
KOSDAQ150,036620,감성코퍼레이션
KOSDAQ150,098460,고영
KOSDAQ150,215000,골프존
KOSDAQ150,121600,나노신소재
KOSDAQ150,253590,네오셈
KOSDAQ150,095660,네오위즈
KOSDAQ150,007390,네이처셀
KOSDAQ150,348210,넥스틴
KOSDAQ150,225570,넥슨게임즈
KOSDAQ150,032190,다우데이타
KOSDAQ150,078600,대주전자재료
KOSDAQ150,213420,덕산네오룩스
KOSDAQ150,194480,데브시스터즈
KOSDAQ150,086450,동국제약
KOSDAQ150,033500,동성화인텍
KOSDAQ150,005290,동진쎄미켐
KOSDAQ150,025900,동화기업
KOSDAQ150,131970,두산테스나
KOSDAQ150,347850,디앤디파마텍
KOSDAQ150,376300,디어유
KOSDAQ150,281740,레이크머티리얼즈
KOSDAQ150,277810,레인보우로보틱스
KOSDAQ150,108490,로보티즈
KOSDAQ150,328130,루닛
KOSDAQ150,141080,리가켐바이오
KOSDAQ150,058470,리노공업
KOSDAQ150,215200,메가스터디교육
KOSDAQ150,086900,메디톡스
KOSDAQ150,140410,메지온
KOSDAQ150,059090,미코
KOSDAQ150,053030,바이넥스
KOSDAQ150,310210,보로노이
KOSDAQ150,018290,브이티
KOSDAQ150,083650,비에이치아이
KOSDAQ150,000250,삼천당제약
KOSDAQ150,006730,서부T&D
KOSDAQ150,046890,서울반도체
KOSDAQ150,178320,서진시스템
KOSDAQ150,171090,선익시스템
KOSDAQ150,014620,성광벤드
KOSDAQ150,015750,성우하이텍
KOSDAQ150,365340,성일하이텍
KOSDAQ150,108860,셀바스AI
KOSDAQ150,068760,셀트리온제약
KOSDAQ150,357780,솔브레인
KOSDAQ150,036830,솔브레인홀딩스
KOSDAQ150,304100,솔트룩스
KOSDAQ150,253450,스튜디오드래곤
KOSDAQ150,025320,시노펙스
KOSDAQ150,065350,신성델타테크
KOSDAQ150,257720,실리콘투
KOSDAQ150,222800,심텍
KOSDAQ150,050890,쏠리드
KOSDAQ150,222080,씨아이에스
KOSDAQ150,352480,씨앤씨인터내셔널
KOSDAQ150,096530,씨젠
KOSDAQ150,025980,아난티
KOSDAQ150,214430,아이쓰리시스템
KOSDAQ150,053800,안랩
KOSDAQ150,196170,알테오젠
KOSDAQ150,101490,에스앤에스텍
KOSDAQ150,056190,에스에프에이
KOSDAQ150,041510,에스엠
KOSDAQ150,237690,에스티팜
KOSDAQ150,058610,에스피지
KOSDAQ150,298380,에이비엘바이오
KOSDAQ150,101360,에코앤드림
KOSDAQ150,086520,에코프로
KOSDAQ150,247540,에코프로비엠
KOSDAQ150,383310,에코프로에이치엔
KOSDAQ150,036810,에프에스티
KOSDAQ150,348370,엔켐
KOSDAQ150,290650,엘앤씨바이오
KOSDAQ150,058970,엠로
KOSDAQ150,039200,오스코텍
KOSDAQ150,226950,올릭스
KOSDAQ150,232140,와이씨
KOSDAQ150,122870,와이지엔터테인먼트
KOSDAQ150,032820,우리기술
KOSDAQ150,041190,우리기술투자
KOSDAQ150,240810,원익IPS
KOSDAQ150,074600,원익QnC
KOSDAQ150,336570,원텍
KOSDAQ150,069080,웹젠
KOSDAQ150,112040,위메이드
KOSDAQ150,101730,위메이드맥스
KOSDAQ150,388720,유일로보틱스
KOSDAQ150,056080,유진로봇
KOSDAQ150,084370,유진테크
KOSDAQ150,179900,유티아이
KOSDAQ150,272290,이녹스첨단소재
KOSDAQ150,039030,이오테크닉스
KOSDAQ150,211050,인카금융서비스
KOSDAQ150,189300,인텔리안테크
KOSDAQ150,033100,제룡전기
KOSDAQ150,079370,제우스
KOSDAQ150,204270,제이앤티씨
KOSDAQ150,080220,제주반도체
KOSDAQ150,082270,젬백스
KOSDAQ150,036930,주성엔지니어링
KOSDAQ150,358570,지아이이노베이션
KOSDAQ150,085660,차바이오텍
KOSDAQ150,278280,천보
KOSDAQ150,293490,카카오게임즈
KOSDAQ150,042000,카페24
KOSDAQ150,078340,컴투스
KOSDAQ150,214370,케어젠
